X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,ns3_TrackPointExtension
-0.515617551282048,49.1406381223351,0,0,24,99,2020/12/11 07:51:08+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>24.0</ns3:atemp>            <ns3:hr>138</ns3:hr>            <ns3:cad>80</ns3:cad>          
-0.515625597909093,49.1406667884439,0,0,25,99.1999969482422,2020/12/11 07:51:09+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>24.0</ns3:atemp>            <ns3:hr>138</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.515662310644984,49.1407862305641,0,0,26,99.5999984741211,2020/12/11 07:51:13+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>24.0</ns3:atemp>            <ns3:hr>139</ns3:hr>            <ns3:cad>80</ns3:cad>          
-0.515668094158173,49.1409487556666,0,0,27,99.1999969482422,2020/12/11 07:51:18+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>24.0</ns3:atemp>            <ns3:hr>141</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.515669854357839,49.140978846699,0,0,28,99.1999969482422,2020/12/11 07:51:19+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>24.0</ns3:atemp>            <ns3:hr>142</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.515648648142815,49.1411437187344,0,0,29,99.8000030517578,2020/12/11 07:51:24+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>24.0</ns3:atemp>            <ns3:hr>144</ns3:hr>            <ns3:cad>80</ns3:cad>          
-0.515607828274369,49.1413342393935,0,0,30,99.5999984741211,2020/12/11 07:51:30+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>24.0</ns3:atemp>            <ns3:hr>145</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.515558961778879,49.1415295377374,0,0,31,99.8000030517578,2020/12/11 07:51:36+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>23.0</ns3:atemp>            <ns3:hr>147</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.515551250427961,49.1415937431157,0,0,32,100.199996948242,2020/12/11 07:51:38+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>23.0</ns3:atemp>            <ns3:hr>147</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.515514202415943,49.1417721938342,0,0,33,100.599998474121,2020/12/11 07:51:43+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>23.0</ns3:atemp>            <ns3:hr>148</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.515474807471037,49.1419495549053,0,0,34,100.599998474121,2020/12/11 07:51:49+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>23.0</ns3:atemp>            <ns3:hr>149</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.515450835227966,49.1421233955771,0,0,35,100.199996948242,2020/12/11 07:51:54+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>23.0</ns3:atemp>            <ns3:hr>149</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.515424935147166,49.1421607788652,0,0,36,100.400001525879,2020/12/11 07:51:55+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>23.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.515318401157856,49.142347862944,0,0,37,100.199996948242,2020/12/11 07:52:01+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>23.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.515203233808279,49.1425168421119,0,0,38,100.199996948242,2020/12/11 07:52:07+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>23.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.515069207176566,49.14267542772,0,0,39,100,2020/12/11 07:52:13+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.515021933242679,49.1427279822528,0,0,40,100,2020/12/11 07:52:15+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.514869717881083,49.1428978834301,0,0,41,99.5999984741211,2020/12/11 07:52:21+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.514833927154541,49.1429491806775,0,0,42,99.5999984741211,2020/12/11 07:52:23+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>151</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.514756562188268,49.1430585645139,0,0,43,99.1999969482422,2020/12/11 07:52:27+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.514650195837021,49.1431944351643,0,0,44,99.1999969482422,2020/12/11 07:52:32+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>151</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.514609459787607,49.1432519350201,0,0,45,99,2020/12/11 07:52:34+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>151</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.514491694048047,49.1434228420258,0,0,46,98.5999984741211,2020/12/11 07:52:40+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.514404103159904,49.1436008736491,0,0,47,98.5999984741211,2020/12/11 07:52:46+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.514388429000974,49.1436347365379,0,0,48,98.5999984741211,2020/12/11 07:52:47+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.51431642845273,49.1437594592571,0,0,49,98.1999969482422,2020/12/11 07:52:51+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>78</ns3:cad>          
-0.51425289362669,49.143848977983,0,0,50,97.8000030517578,2020/12/11 07:52:54+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>22.0</ns3:atemp>            <ns3:hr>150</ns3:hr>            <ns3:cad>79</ns3:cad>          
-0.514143342152238,49.1439807415009,0,0,51,97.4000015258789,2020/12/11 07:53:00+00,,,,,,,,,,,,,,,,,,,,,,            <ns3:atemp>21.0</ns3:atemp>            <ns3:hr>149</ns3:hr>            <ns3:cad>77</ns3:cad>          
